id,onoma,einai_banana,chroma,echei_koukoutsi,trwgetai_flouda,malakotita_1_5,megethos_1_3,einai_exotiko
1,Milo,0,kokkino,1,0,2,2,0
2,Banana,1,kitrino,0,0,3,2,0
3,Fragola,0,kokkino,1,1,4,1,0
4,Karpouzi,0,prasino,1,0,4,3,0
5,Portokali,0,portokali,1,0,3,2,0
6,Stafyli,0,mov,1,1,3,1,0
7,Ananas,0,kitrino,0,0,2,3,1
8,Kerasi,0,kokkino,1,1,4,1,0
9,Lemoni,0,kitrino,0,0,2,1,0
10,Rodakino,0,portokali,1,0,4,2,0
11,Banana,1,kitrino,0,0,3,2,0
12,Banana,1,kitrino,0,0,4,2,0
13,Banana,1,prasino,0,0,1,2,0
14,Banana,1,kitrino,0,0,3,1,0
15,Banana,1,kitrino,0,0,3,3,0
16,Banana,1,mavro,0,0,5,2,0
17,Banana,1,kitrino,0,0,4,1,0
18,Banana,1,prasino,0,0,2,1,0
19,Banana,1,kitrino,0,0,3,2,0
20,Banana,1,kitrino,0,0,4,3,0
21,Banana,1,prasino,0,0,1,3,0
22,Banana,1,kitrino,0,0,3,2,0
23,Banana,1,mavro,0,0,5,1,0
24,Banana,1,kitrino,0,0,2,2,0
